日期,时间,选题,平台,内容形式,风格,发布数量,文案文件,状态,发布链接,曝光,点赞,评论,收藏,转发,新增注册,问卷完成,备注
2026-06-15,11:40,周一同频匹配夜预告,小红书,图文海报,冰雪极简,1,小红书文案.md,待发布,,,,,,,,午饭前种草
2026-06-15,17:30,今晚20点进池提醒,朋友圈,短文案,冰雪极简,1,朋友圈文案.md,待发布,,,,,,,,晚饭前提醒
2026-06-15,19:20,20点前完成问卷,微信群,群提醒,直接行动,2,微信群文案.md,待发布,,,,,,,,20点前最后提醒
2026-06-16,12:10,周一匹配结果大揭秘,小红书,数据图文,数据揭秘,1,小红书文案.md,待发布,,,,,,,,结果数据出来后替换真实数字
2026-06-16,20:30,结果揭秘短视频,抖音,口播/字幕视频,数据揭秘,1,抖音文案.md,待发布,,,,,,,,用结果海报做背景
2026-06-17,12:10,不是找对象也可以找搭子,小红书,图文/长图,校园清爽,1,小红书文案.md,待发布,,,,,,,,降低恋爱软件刻板印象
2026-06-17,18:20,搭子定位朋友圈,朋友圈,短文案,松弛,1,朋友圈文案.md,待发布,,,,,,,,适合用户转发
2026-06-18,11:40,周四同频匹配夜预告,小红书,图文海报,冰雪极简,1,小红书文案.md,待发布,,,,,,,,周四主推
2026-06-18,17:30,今晚20点进池提醒,朋友圈,短文案,冰雪极简,1,朋友圈文案.md,待发布,,,,,,,,晚饭前提醒
2026-06-18,19:20,周四最后提醒,微信群,群提醒,直接行动,3,微信群文案.md,待发布,,,,,,,,20点前最后提醒
2026-06-19,12:10,周四匹配结果大揭秘,小红书,数据图文,数据揭秘,1,小红书文案.md,待发布,,,,,,,,突出成功匹配对数
2026-06-19,20:30,周四结果短视频,抖音,口播/字幕视频,数据揭秘,1,抖音文案.md,待发布,,,,,,,,带评论互动
2026-06-20,12:30,测测我俩到底准不准,小红书,功能体验,轻松好奇,1,小红书文案.md,待发布,,,,,,,,带动分享
2026-06-20,19:30,测测我俩短视频,抖音,剧情/字幕视频,轻松好奇,1,抖音文案.md,待发布,,,,,,,,适合朋友互测
2026-06-21,12:30,一周复盘与下周预告,公众号,长文,品牌解释,1,公众号文案.md,待发布,,,,,,,,沉淀品牌认知
2026-06-21,20:30,下周一匹配夜预告,朋友圈/微信群,短文案,轻提醒,2,朋友圈文案.md;微信群文案.md,待发布,,,,,,,,为下周一预热
